序号,学科门类,项目名称,项目名称分词,项目类别,申请人,学校名称,省份,地区,学校标签
2338,交叉学科/综合研究,基于“性能—过程—网络”的粤港澳大湾区沿海城区洪涝韧性评价及优化路径研究,基于 性能 过程 网络 港澳 大湾区 沿海 城区 洪涝 韧性 评价 优化 路径 研究,青年基金项目,陈碧琳,华南理工大学,广东,东部,双一流
2339,交叉学科/综合研究,考虑时延约束的低空机器人远程协作界面设计与评价方法研究,考虑 时延 约束 低空 机器人 远程 协作 界面 设计 评价 方法 研究,青年基金项目,仝牧,华南理工大学,广东,东部,双一流
2340,交叉学科/综合研究,信息行为学视角下促进科技创新的大学校园空间布局研究,信息 行为 学视 角下 促进 科技 创新 大学 校园 空间 布局 研究,规划基金项目,邓巧明,华南理工大学,广东,东部,双一流
2341,交叉学科/综合研究,乡村公共空间对老年人社会健康影响机制及促进策略研究,乡村 公共 空间 老年人 社会 健康 影响 机制 促进 策略 研究,青年基金项目,夏宇,华南农业大学,广东,东部,双一流
2342,交叉学科/综合研究,住房拆迁对城市绅士化的影响机制与治理转型研究,住房 拆迁 城市 绅士化 影响 机制 治理 转型 研究,青年基金项目,苏尹馨,华南农业大学,广东,东部,双一流
2343,交叉学科/综合研究,候鸟迁徙停歇地设立OECMs的优先区识别与管理路径研究——以珠三角城市绿地为例,候鸟 迁徙 停歇 设立 OECMs 优先区 识别 管理 路径 研究 —— 珠三角 城市 绿地,青年基金项目,侯姝彧,华南农业大学,广东,东部,双一流
2344,交叉学科/综合研究,数字媒介驱动下城市公共空间旅游化的过程、机制与效应研究,数字 媒介 驱动 城市 公共 空间 旅游化 过程 机制 效应 研究,青年基金项目,解佳,华南师范大学,广东,东部,双一流
2345,交叉学科/综合研究,信息处理偏差下ESG整合投资决策研究,信息 处理 偏差 下E SG 整合 投资 决策 研究,规划基金项目,康志林,华侨大学,福建,东部,普通院校
2346,交叉学科/综合研究,中华传统技艺在现代工程技术领域的创造性转化研究,中华 传统 技艺 现代 工程 技术 领域 创造性 转化 研究,青年基金项目,陈誉,华侨大学,福建,东部,普通院校
2347,交叉学科/综合研究,研学旅行对港澳台学生国家认同影响路径与对策研究,研学 旅行 港澳台 学生 国家 认同 影响 路径 对策 研究,规划基金项目,陈金华,华侨大学,福建,东部,普通院校
2348,交叉学科/综合研究,基于大语言模型的中华文化英语分级读物智能开发与传播研究,基于 语言 模型 中华 文化 英语 分级 读物 智能 开发 传播 研究,青年基金项目,施雅倩,华中科技大学,湖北,中部,双一流
2349,交叉学科/综合研究,数字平台重塑下的城市“新日常公共空间”形成机制与治理模式,数字 平台 塑下 城市 日常 公共 空间 形成 机制 治理 模式,青年基金项目,胡兴,华中科技大学,湖北,中部,双一流
2350,交叉学科/综合研究,城市空间治理高质量发展背景下居住空间格局与居住环境剥夺研究,城市 空间 治理 质量 发展 背景 居住 空间 格局 居住 环境 剥夺 研究,规划基金项目,蔡文杰,华中科技大学,湖北,中部,双一流
2351,交叉学科/综合研究,AI心理健康服务使用与建议遵从行为研究,AI 心理 健康 服务 使用 建议 遵从 行为 研究,规划基金项目,吴翔,华中科技大学,湖北,中部,双一流
2352,交叉学科/综合研究,智脑赋能的孤独症儿童认知障碍智能评估与干预研究,智脑 赋能 孤独症 儿童 认知 障碍 智能 评估 干预 研究,青年基金项目,高腾飞,华中师范大学,湖北,中部,双一流
2353,交叉学科/综合研究,青少年抑郁症患者的内感受异常及其神经机制研究,青少年 抑郁症 患者 感受 异常 及其 神经 机制 研究,规划基金项目,谈雅菲,华中师范大学,湖北,中部,双一流
2354,交叉学科/综合研究,生成式AI嵌入学习评价场域中算法偏见的发生机理及干预策略研究,生成式 AI 嵌入 学习 评价 场域 算法 偏见 发生 机理 干预 策略 研究,规划基金项目,上超望,华中师范大学,湖北,中部,双一流
2355,交叉学科/综合研究,大语言模型的社会主义价值观量化评测研究,语言 模型 社会主义 价值 观量化 评测 研究,规划基金项目,张勇,华中师范大学,湖北,中部,双一流
2356,交叉学科/综合研究,众包市场中的激励合同设计——基于动态博弈和优化算法的双重视角,众包 市场 激励 合同 设计 —— 基于 动态 博弈 优化 算法 双重 视角,青年基金项目,马梦帆,华中师范大学,湖北,中部,双一流
2357,交叉学科/综合研究,数智赋能孤独症儿童知觉学习行为量化评估与个性化干预,智赋 孤独症 儿童 知觉 学习 行为 量化 评估 个性化 干预,青年基金项目,王广帅,华中师范大学,湖北,中部,双一流
2358,交叉学科/综合研究,多元主体视角下民族旅游地的权力流动机制与治理效应研究,多元 主体 视角 民族 旅游 权力 流动 机制 治理 效应 研究,规划基金项目,李亚娟,华中师范大学,湖北,中部,双一流
2359,交叉学科/综合研究,“创新积分制”对科技型企业发展韧性的影响研究——基于资本耐心度视角,创新 积分制 科技型 企业 发展 韧性 影响 研究 —— 基于 资本耐 心度 视角,规划基金项目,余星,华中师范大学,湖北,中部,双一流
2360,交叉学科/综合研究,基于机器学习的儿童友好城市学径空间评价体系研究,基于 机器 学习 儿童 友好 城市 学径 空间 评价 体系 研究,规划基金项目,吴鼎新,淮阴工学院,江苏,东部,普通院校
2361,交叉学科/综合研究,淮河生态经济带连续性干热风灾害风险评估与农业气候韧性优化路径研究,淮河 生态 经济带 连续性 热风 灾害 风险 评估 农业 气候 韧性 优化 路径 研究,青年基金项目,张余庆,淮阴师范学院,江苏,东部,普通院校
2362,交叉学科/综合研究,体医康养融合背景下老龄肌肉衰减症干预机制与适老化路径研究,体医 康养 融合 背景 老龄 肌肉 衰减症 干预 机制 适老化 路径 研究,青年基金项目,徐帅,淮阴师范学院,江苏,东部,普通院校
2363,交叉学科/综合研究,新中国邮票里的乡村叙事与文化记忆研究,中国 邮票 乡村 叙事 文化 记忆 研究,规划基金项目,唐云鹏,黄冈师范学院,湖北,中部,普通院校
2364,交叉学科/综合研究,进化发展视角下早期逆境影响青少年内化问题的心理机制及其干预研究,进化 发展 视角 早期 逆境 影响 青少年 内化 问题 心理 机制 及其 干预 研究,青年基金项目,彭顺,黄冈师范学院,湖北,中部,普通院校
2365,交叉学科/综合研究,基于“藏品—空间—消费”协同转向的中国当代电影博物馆创新发展研究,基于 藏品 空间 消费 协同 转向 中国 当代 电影 博物馆 创新 发展 研究,规划基金项目,崔亚卓,吉林艺术学院,吉林,中部,普通院校
2366,交叉学科/综合研究,青年癌症幸存者社会再融合机制与精准适配支持策略研究,青年 癌症 幸存者 社会 融合 机制 精准 适配 支持 策略 研究,青年基金项目,张一恒,暨南大学,广东,东部,双一流
2367,交叉学科/综合研究,基于大数据技术下的老年人嗜睡的成因分析、预防与智能化调节,基于 数据 技术 老年人 嗜睡 成因 分析 预防 智能化 调节,规划基金项目,姚成贵,嘉兴大学,浙江,东部,普通院校
2368,交叉学科/综合研究,《吴兰修集》整理与研究,吴兰 修集 整理 研究,规划基金项目,汤克勤,嘉应学院,广东,东部,普通院校
2369,交叉学科/综合研究,基于人机协同效能的适老化织物基气动康复外骨骼设计研究,基于 人机 协同 效能 适老化 织物 基气 动康 复外 骨骼 设计 研究,青年基金项目,胡霄睿,江南大学,江苏,东部,双一流
2370,交叉学科/综合研究,数智赋能视域下网络视听助力乡村文化全面振兴的创新路径与协同机制研 究,智赋 视域 网络 视听 助力 乡村 文化 全面 振兴 创新 路径 协同 机制,规划基金项目,于丽金,江苏城市职业学院,江苏,东部,普通院校
2371,交叉学科/综合研究,行为异化嵌入下工程强关联风险的耦合、传导与协同防控研究,行为 异化 嵌入 工程 关联 风险 耦合 传导 协同 防控 研究,规划基金项目,李真,江苏大学,江苏,东部,普通院校
2372,交叉学科/综合研究,文化自信视域下江苏传统民歌文化形态与传承发展研究,文化 自信 视域 江苏 传统 民歌 文化 形态 传承 发展 研究,规划基金项目,孙伟,江苏大学,江苏,东部,普通院校
2373,交叉学科/综合研究,价值共创视域下高校—企业科技成果转化的驱动机制及优化路径研究,价值 创视 域下 高校 企业 科技 成果 转化 驱动 机制 优化 路径 研究,青年基金项目,吴海江,江苏大学,江苏,东部,普通院校
2374,交叉学科/综合研究,内卷语境下高校教师科研创新韧性的阻滞机制及提升策略研究,卷语 境下 高校 教师 科研 创新 韧性 阻滞 机制 提升 策略 研究,青年基金项目,张群,江苏大学,江苏,东部,普通院校
2375,交叉学科/综合研究,海域立体分层设权模式存在的问题与制度优化研究,海域 立体 分层 设权 模式 存在 问题 制度 优化 研究,规划基金项目,赵科学,江苏海洋大学,江苏,东部,普通院校
2376,交叉学科/综合研究,文化抗战视阈下电影刊物的舆论动员研究（1931-1945）,文化 抗战 阈下 电影 刊物 舆论 动员 研究 1931 1945,青年基金项目,徐国庆,江苏海洋大学,江苏,东部,普通院校
2377,交叉学科/综合研究,深度伪造技术证据风险分析与应对策略研究,深度 伪造 技术 证据 风险 分析 应对 策略 研究,规划基金项目,申小虎,江苏警官学院,江苏,东部,普通院校
2378,交叉学科/综合研究,神经美学视角下AIGC视觉艺术的疗愈机制与个性化推荐研究,神经 美学 视角 AIGC 视觉 艺术 疗愈 机制 个性化 推荐 研究,规划基金项目,冯裕良,江苏理工学院,江苏,东部,普通院校
2379,交叉学科/综合研究,融合多模态数据的协作学习投入演化机理与干预策略研究,融合 模态 数据 协作 学习 投入 演化 机理 干预 策略 研究,青年基金项目,李新,江苏师范大学,江苏,东部,普通院校
2380,交叉学科/综合研究,地方政府应急财政韧性的实现机制及推进策略研究,地方政府 应急 财政 韧性 实现 机制 推进 策略 研究,规划基金项目,李胜,江西财经大学,江西,中部,普通院校
2381,交叉学科/综合研究,高等教育数字化转型背景下的智能导学方法研究,高等 教育 数字化 转型 背景 智能 导学 方法 研究,青年基金项目,王超,江西财经大学,江西,中部,普通院校
2382,交叉学科/综合研究,生成式人工智能驱动的软件工程教育新范式：理论构建与实践路径研究,生成式 人工 智能 驱动 软件 工程 教育 范式 理论 构建 实践 路径 研究,规划基金项目,徐照兴,江西服装学院,江西,中部,普通院校
2383,交叉学科/综合研究,人工智能赋能服务业高质量充分就业的机制与实证研究——基于技能与职业的动态耦合视角,人工 智能 赋能 服务业 质量 充分 就业 机制 实证 研究 —— 基于 技能 职业 动态 耦合 视角,规划基金项目,顾婷婷,金陵科技学院,江苏,东部,普通院校
